region_id,region_name,date,ndvi
rikaze-jiangzi,日喀则市江孜县,2021-02,0.09765
rikaze-kangma,日喀则市康马县,2021-02,0.0927
rikaze-zhongba,日喀则市仲巴县,2021-02,0.11810000000000001
shannan-cuona,山南市措那县,2021-02,0.11925000000000001
ali-gaize,阿里地区改则县,2021-02,0.0719
yushu-chengduo,玉树州称多县,2021-02,0.1169
yushu-zaduo,玉树州杂多县,2021-02,0.13820000000000002
guoluo-maqin,果洛州玛沁县,2021-02,0.085
guoluo-jiuzhi,果洛州久治县,2021-02,0.0956
haibei-gangcha,海北州刚察县,2021-02,0.1165
huangnan-zeku,黄南州泽库县,2021-02,0.127
ganzi-shiqu,甘孜州石渠县,2021-02,0.12685000000000002
ganzi-seda,甘孜州色达县,2021-02,0.08585000000000001
aba-hongyuan,阿坝州红原县,2021-02,0.26415
gannan-luqu,甘南州碌曲县,2021-02,0.1131
naqu-bange,那曲市班戈县,2021-03,0.1369
naqu-seni,那曲市色尼区,2021-03,0.12290000000000001
naqu-nierong,那曲市聂荣县,2021-03,0.2011
naqu-anduo,那曲市安多县,2021-03,0.02555
naqu-shenzha,那曲市申扎县,2021-03,0.10740000000000001
changdu-karuo,昌都市卡若区,2021-03,0.07100000000000001
changdu-luolong,昌都市洛隆县,2021-03,0.16255
changdu-leiwuqi,昌都市类乌齐县,2021-03,0.1615
changdu-jiangda,昌都市江达县,2021-03,0.48985
rikaze-xietongmen,日喀则市谢通门县,2021-03,0.0995
rikaze-jiangzi,日喀则市江孜县,2021-03,0.09995000000000001
rikaze-kangma,日喀则市康马县,2021-03,0.0995
rikaze-zhongba,日喀则市仲巴县,2021-03,0.12435
shannan-cuona,山南市措那县,2021-03,0.12085
ali-gaize,阿里地区改则县,2021-03,0.0742
yushu-chengduo,玉树州称多县,2021-03,0.09535
yushu-zaduo,玉树州杂多县,2021-03,0.16585
guoluo-maqin,果洛州玛沁县,2021-03,0.08005000000000001
guoluo-jiuzhi,果洛州久治县,2021-03,0.11365
haibei-gangcha,海北州刚察县,2021-03,0.11525
huangnan-zeku,黄南州泽库县,2021-03,0.14915
ganzi-shiqu,甘孜州石渠县,2021-03,0.16125
ganzi-seda,甘孜州色达县,2021-03,0.08940000000000001
aba-hongyuan,阿坝州红原县,2021-03,0.2842
gannan-luqu,甘南州碌曲县,2021-03,0.10500000000000001
naqu-bange,那曲市班戈县,2021-04,0.1335
naqu-seni,那曲市色尼区,2021-04,0.12645
naqu-nierong,那曲市聂荣县,2021-04,0.19870000000000002
naqu-anduo,那曲市安多县,2021-04,0.08025
naqu-shenzha,那曲市申扎县,2021-04,0.09135
changdu-karuo,昌都市卡若区,2021-04,0.09330000000000001
changdu-luolong,昌都市洛隆县,2021-04,0.17350000000000002
changdu-leiwuqi,昌都市类乌齐县,2021-04,0.1559
changdu-jiangda,昌都市江达县,2021-04,0.42345
rikaze-xietongmen,日喀则市谢通门县,2021-04,0.1087
rikaze-jiangzi,日喀则市江孜县,2021-04,0.11130000000000001
rikaze-kangma,日喀则市康马县,2021-04,0.08195000000000001
rikaze-zhongba,日喀则市仲巴县,2021-04,0.11705
shannan-cuona,山南市措那县,2021-04,0.07475
