region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample
changdu-luolong,CMFD_changdu-luolong,2024-05-01 00:00,9.0,1.17,2.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-leiwuqi,CMFD_changdu-leiwuqi,2024-05-01 00:00,6.7,1.29,1.2,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
changdu-jiangda,CMFD_changdu-jiangda,2024-05-01 00:00,1.8,1.55,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-xietongmen,CMFD_rikaze-xietongmen,2024-05-01 00:00,11.4,0.25,2.5,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-jiangzi,CMFD_rikaze-jiangzi,2024-05-01 00:00,11.2,0.39,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-kangma,CMFD_rikaze-kangma,2024-05-01 00:00,4.4,0.6,2.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
rikaze-zhongba,CMFD_rikaze-zhongba,2024-05-01 00:00,6.1,0.0,4.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
shannan-cuona,CMFD_shannan-cuona,2024-05-01 00:00,1.9,2.12,1.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ali-gaize,CMFD_ali-gaize,2024-05-01 00:00,6.2,0.21,3.4,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-chengduo,CMFD_yushu-chengduo,2024-05-01 00:00,6.4,3.3,1.9,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
yushu-zaduo,CMFD_yushu-zaduo,2024-05-01 00:00,5.8,3.08,2.0,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-maqin,CMFD_guoluo-maqin,2024-05-01 00:00,5.8,3.42,1.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
guoluo-jiuzhi,CMFD_guoluo-jiuzhi,2024-05-01 00:00,4.8,4.26,1.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
haibei-gangcha,CMFD_haibei-gangcha,2024-05-01 00:00,7.3,1.81,3.9,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
huangnan-zeku,CMFD_huangnan-zeku,2024-05-01 00:00,5.0,2.44,2.6,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-shiqu,CMFD_ganzi-shiqu,2024-05-01 00:00,3.8,2.67,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
ganzi-seda,CMFD_ganzi-seda,2024-05-01 00:00,5.6,4.7,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
aba-hongyuan,CMFD_aba-hongyuan,2024-05-01 00:00,6.2,3.82,2.3,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
gannan-luqu,CMFD_gannan-luqu,2024-05-01 00:00,6.6,2.63,2.8,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
naqu-bange,CMFD_naqu-bange,2024-06-01 00:00,8.4,1.99,2.7,0,低,低,中,tpdc,cmfd-v2,CMFD_V0200,false
