region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample,imported_at,n_grid_cells
haibei-gangcha,CMFD_regional_haibei-gangcha,2015-02-01 00:00,-10.2,2.0,3.0,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331251+00:00,144
huangnan-zeku,CMFD_regional_huangnan-zeku,2015-02-01 00:00,-8.5,1.5,2.4,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331334+00:00,112
ganzi-shiqu,CMFD_regional_ganzi-shiqu,2015-02-01 00:00,-11.4,1.9,2.6,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331424+00:00,380
ganzi-seda,CMFD_regional_ganzi-seda,2015-02-01 00:00,-8.6,0.9,2.5,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331495+00:00,208
aba-hongyuan,CMFD_regional_aba-hongyuan,2015-02-01 00:00,-4.5,1.3,2.3,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331560+00:00,196
gannan-luqu,CMFD_regional_gannan-luqu,2015-02-01 00:00,-5.7,3.1,2.5,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331627+00:00,80
linzhi-bayi,CMFD_regional_linzhi-bayi,2015-02-01 00:00,-5.4,8.1,2.2,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331693+00:00,144
naqu-bange,CMFD_regional_naqu-bange,2015-03-01 00:00,-4.2,4.7,4.3,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.341988+00:00,529
naqu-seni,CMFD_regional_naqu-seni,2015-03-01 00:00,-4.5,5.7,3.0,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342102+00:00,280
naqu-nierong,CMFD_regional_naqu-nierong,2015-03-01 00:00,-6.5,5.4,3.8,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342175+00:00,187
naqu-anduo,CMFD_regional_naqu-anduo,2015-03-01 00:00,-10.0,4.1,4.6,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.342298+00:00,1872
